Country,Year,Value
Angola,2008,30.1
Albania,2012,1.1
Argentina,2016,0.6
Armenia,2016,1.8
Australia,2010,0.5
Austria,2015,0.7
Azerbaijan,2005,0
Burundi,2013,71.7
Belgium,2015,0
Benin,2015,49.6
Burkina Faso,2014,43.7
Bangladesh,2016,14.8
Bulgaria,2014,1.5
Bosnia and Herzegovina,2015,0.2
Belarus,2016,0
Belize,1999,14.9
Bolivia,2016,7.1
Brazil,2015,3.4
Bhutan,2017,1.5
Botswana,2009,18.2
Central African Republic,2008,66.3
Canada,2013,0.5
Switzerland,2015,0
Chile,2015,1.3
China,2015,0.7
Cote d'Ivoire,2015,28.2
Cameroon,2014,23.8
"Congo, Dem. Rep.",2012,77.1
"Congo, Rep.",2011,37
Colombia,2016,4.5
Comoros,2013,18.1
Cabo Verde,2007,8.1
Costa Rica,2016,1.3
Cyprus,2015,0
Czech Republic,2015,0
Germany,2015,0
Djibouti,2013,22.5
Denmark,2015,0.2
Dominican Republic,2016,1.6
Algeria,2011,0.5
East Asia & Pacific,2015,2.3
Europe & Central Asia,2015,1.5
Ecuador,2016,3.6
"Egypt, Arab Rep.",2015,1.3
Spain,2015,1
Estonia,2015,0.5
Ethiopia,2015,26.7
Fragile and conflict affected situations,2015,35.2
Finland,2015,0
Fiji,2013,1.4
France,2015,0
"Micronesia, Fed. Sts.",2013,16
Gabon,2017,3.4
United Kingdom,2015,0.2
Georgia,2016,4.2
Ghana,2012,12
Guinea,2012,35.3
"Gambia, The",2015,10.1
Guinea-Bissau,2010,67.1
Greece,2015,1.5
Guatemala,2014,8.7
Guyana,1998,14
High income,2015,0.7
Honduras,2016,16
Croatia,2015,0.7
Haiti,2012,23.5
Hungary,2015,0.5
IDA total,2015,30.8
Indonesia,2017,5.7
India,2011,21.2
Ireland,2015,0.2
"Iran, Islamic Rep.",2014,0.2
Iraq,2012,2.5
Iceland,2014,0
Israel,2012,0.5
Italy,2015,2
Jamaica,2004,1.7
Jordan,2010,0.1
Japan,2008,0.2
Kazakhstan,2015,0
Kenya,2015,36.8
Kyrgyz Republic,2016,1.4
Kiribati,2006,12.9
"Korea, Rep.",2012,0.2
Lao PDR,2012,22.7
Lebanon,2011,0
Liberia,2014,38.6
St. Lucia,1995,35.8
Latin America & Caribbean,2015,4.1
Low income,2015,43.9
Sri Lanka,2016,0.7
Lower middle income,2015,13.9
Low & middle income,2015,11.9
Lesotho,2010,59.6
Lithuania,2015,0.7
Luxembourg,2015,0.2
Latvia,2015,0.7
Morocco,2013,1
Moldova,2016,0.2
Madagascar,2012,77.6
Maldives,2009,7.3
Middle East & North Africa,2015,5
Mexico,2016,2.5
"Macedonia, FYR",2014,5
Mali,2009,49.7
Malta,2015,0
Myanmar,2015,6.4
Montenegro,2014,0
Mongolia,2016,0.5
Mozambique,2014,62.9
Mauritania,2014,6
Mauritius,2012,0.5
Malawi,2010,71.4
Malaysia,2015,0
Namibia,2015,13.4
Niger,2014,44.5
Nigeria,2009,53.5
Nicaragua,2014,3.2
Netherlands,2015,0
Norway,2015,0.2
Nepal,2010,15
Pakistan,2015,4
Panama,2016,2.2
Peru,2016,3.5
Papua New Guinea,2009,38
Portugal,2015,0.5
Paraguay,2016,1.7
West Bank and Gaza,2016,1
Romania,2015,5.7
Russian Federation,2015,0
Rwanda,2013,56
South Asia,2013,16.2
Sudan,2009,14.9
Senegal,2011,38
Solomon Islands,2013,25.1
Sierra Leone,2011,52.2
El Salvador,2016,2.2
South Sudan,2009,42.7
Sub-Saharan Africa,2015,41.1
Sao Tome and Principe,2010,32.3
Suriname,1999,23.4
Slovak Republic,2015,0.7
Slovenia,2015,0
Sweden,2015,0.5
Eswatini,2009,42
Seychelles,2013,1.1
Syrian Arab Republic,2004,1.7
Chad,2011,38.4
Togo,2015,49.2
Thailand,2015,0
Tajikistan,2015,4.8
Turkmenistan,1998,51.4
Timor-Leste,2014,30.3
Tonga,2009,1.1
Trinidad and Tobago,1992,3.4
Tunisia,2010,2
Turkey,2016,0.2
Tuvalu,2010,3.3
Tanzania,2011,49.1
Uganda,2016,41.6
Ukraine,2016,0.1
Upper middle income,2015,1.7
Uruguay,2016,0.1
United States,2016,1.2
Uzbekistan,2003,62.1
"Venezuela, RB",2006,10.2
Vietnam,2016,2
Vanuatu,2010,13.2
World,2015,10
Samoa,2008,0.6
Kosovo,2016,0.6
"Yemen, Rep.",2014,18.8
South Africa,2014,18.9
Zambia,2015,57.5
Zimbabwe,2011,21.4
